03/02/22 08:30:57:286 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:30:57:286 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Service destruction took 0.1 ms and succeed.
03/02/22 08:31:02:239 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Signature found
03/02/22 08:31:02:239 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Found valid signature, checking if signed by Adobe or not
03/02/22 08:31:02:307 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Signature found
03/02/22 08:31:14:683 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Client app successfully signed
03/02/22 08:31:15:689 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Signature found
03/02/22 08:31:15:689 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Found valid signature, checking if signed by Adobe or not
03/02/22 08:31:15:851 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Signature found
03/02/22 08:31:16:588 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 7428 | Client app successfully signed
03/02/22 08:31:24:942 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | Semaphore acquired
03/02/22 08:31:25:825 | [DEBUG] |  |  |  | AdobeGCHostfileValidation |  |  | 17856 | Checking if gocart server url is blocked in hostfile
03/02/22 08:31:25:972 | [INFO] |  |  |  | AdobeGCHostfileValidation |  |  | 17856 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:31:25:972 | [DEBUG] |  |  |  | AdobeGCHostfileValidation |  |  | 17716 | Checking if gocart server url is blocked in hostfile
03/02/22 08:31:25:972 | [ERROR] |  |  |  | SLCoreService |  |  | 17856 | user based licensing: 0
03/02/22 08:31:25:972 | [INFO] |  |  |  | SLCoreService |  |  | 17856 | Service construction took 147.4 ms and succeed.
03/02/22 08:31:31:802 | [ERROR] |  |  |  | SLCoreService |  |  | 17856 | Fetching server URL from dispatch table
03/02/22 08:31:31:803 | [INFO] |  |  |  | SLCoreService |  |  | 17716 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:31:31:803 | [INFO] |  |  |  | SLCoreService |  |  | 17716 | Service destruction took 0.4 ms and succeed.
03/02/22 08:31:31:803 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 17716 | Fetching server URL from dispatch table
